Epoch,Train CRF Acc,Val CRF Acc
150,0.998192829,0.980426918
151,0.998565853,0.980181183
152,0.998832424,0.980445695
153,0.9981646,0.979891237
154,0.997642859,0.980374017
155,0.998395726,0.980593594
156,0.998256946,0.980790866
157,0.998246733,0.981196072
158,0.998218706,0.980379393
159,0.998258338,0.979959707
160,0.998199992,0.981060625
161,0.998286545,0.981325691
162,0.998329848,0.980107384
163,0.997994565,0.980522171
164,0.998356144,0.980444208
165,0.998414978,0.980601808
166,0.998546678,0.980120202
167,0.998726144,0.979599568
168,0.998705709,0.979490772
169,0.998959761,0.979859879
170,0.999254118,0.980629202
171,0.999003479,0.980516563
172,0.998548958,0.980855648
173,0.998432227,0.980893123
174,0.998657547,0.980882774
175,0.998740993,0.980491625
176,0.998949803,0.980419605
177,0.99867519,0.981072958
178,0.999052301,0.980814764
179,0.999032184,0.980771089
180,0.998669642,0.980772369
181,0.998877655,0.981440393
182,0.998533333,0.980681712
183,0.998796574,0.98022108
184,0.999072932,0.98115631
185,0.999023871,0.980607947
186,0.999044262,0.980662789
187,0.998956622,0.980404086
188,0.99914929,0.980960033
189,0.998911018,0.980673215
190,0.999034032,0.980873425
191,0.99899847,0.981051477
192,0.998669529,0.980389442
193,0.998671614,0.97970873
194,0.998769344,0.97875088
195,0.998741166,0.980791793
196,0.998801899,0.981382918
197,0.998755908,0.980810739
198,0.998494681,0.981578555
199,0.998567521,0.980724736
200,0.998743893,0.980952053
201,0.998718487,0.979540651
202,0.998549261,0.981081094
203,0.998906481,0.980915234
204,0.998898449,0.981508241
205,0.99928334,0.981497677
206,0.999358588,0.980268618
207,0.999286864,0.981468731
208,0.999195696,0.980278048
209,0.999230431,0.979814979
210,0.999107321,0.979954964
211,0.999236817,0.980031446
212,0.999058765,0.980762173
213,0.999098062,0.980858685
214,0.999194593,0.979838161
215,0.999439162,0.980286555
216,0.999501024,0.979674291
217,0.999290048,0.980753582
218,0.999365622,0.98057907
219,0.999032971,0.980973988
220,0.999258042,0.980516555
221,0.999110733,0.980805993
222,0.999106495,0.979759711
223,0.999150003,0.979666988
224,0.999260526,0.98070095
225,0.999396489,0.980621137
226,0.999387112,0.980372333
227,0.999610831,0.98104309
228,0.999462758,0.980001206
229,0.999490296,0.980650402
230,0.999539493,0.980177981
231,0.999448318,0.979582083
232,0.99916648,0.980187585
233,0.999374055,0.979947276
234,0.998364888,0.980540967
235,0.995794377,0.980404499
236,0.997089608,0.981056419
237,0.998333306,0.981294616
238,0.999236887,0.981718692
239,0.999201143,0.981537179
240,0.999429985,0.980720432
241,0.999391536,0.980698932
242,0.999530951,0.980410922
243,0.999426814,0.98110015
244,0.999592961,0.981413593
245,0.999599609,0.981527919
246,0.999714603,0.981564998
247,0.999718799,0.981204223
248,0.999733901,0.98137901
249,0.999545683,0.980328679
250,0.999427039,0.980182569
251,0.99943735,0.981240707
252,0.999441486,0.980962252
253,0.999486992,0.981111482
254,0.999801928,0.980819137
255,0.999693511,0.980942975
256,0.999676575,0.981091379
