LIT,LIT-49,NC(=O)c1cccc2c1cc(n2c1nc(NCc2ccccc2)c2c(n1)CCOC2)C
LIT,LIT-50,OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl
LIT,LIT-51,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC
LIT,LIT-52,OC(=O)COc1ccc(cc1)C=C1SC(=O)NC1=O
LIT,LIT-53,CO[C@@H]1CC/C=C/c2cccc(c2)[C@@H](CCNC(=O)OC(C)(C)C)OC(=O)[C@H]2NN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1C)C(C)C)C)CCC2
LIT,LIT-54,NC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(-c3c1onc3C)cccc2
LIT,LIT-55,Nc1nccc(n1)c1sc(nc1c1cccc(c1F)NS(=O)(=O)c1c(F)cccc1F)C(C)(C)C
LIT,LIT-56,c1ccc(cc1)CNc1nc(NCc2ccccc2)c2c(n1)cccc2
LIT,LIT-57,O=C(COc1cccc2c1C(=O)N(C2=O)C1CCC(=O)NC1=O)NCCCCCCCCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(-n3c1nnc3C)sc(c2C)C
LIT,LIT-58,OC[C@H]1N(CCCCCCN(C(=O)NC(C)(C)C)C2CCCCC2)C[C@@H]([C@H]([C@@H]1O)O)O
LIT,LIT-59,CC(=O)NCC1OC(=O)N(C1)c1ccc(c(c1)F)N1CCOCC1
LIT,LIT-60,NCCCCC(C(=O)N1CCCC1C(=O)O)NC(C(=O)O)CCc1ccccc1
LIT,LIT-61,Nc1cc(nc(=N)n1O)N1CCCCC1
LIT,LIT-62,COc1cccc2c1nc(nc2NCc1ccccc1)n1c(N)nc2c1cccc2
LIT,LIT-63,O[C@@H]1C[C@H](N(C1)C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCNC(=O)C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)C(=O)NCc1ccc(cc1)c1scnc1C
LIT,LIT-64,NC(=Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=N)N)N
LIT,LIT-65,OC1CC(CC1COS(=O)(=O)N)n1ccc2c1ncnc2NC1CCc2c1cccc2
LIT,LIT-66,N#CCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(c3c2cccc3)Cc2ccc(cc2)Br)N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC1=O)CC(C)C)C)CC(C)C)CC(C)C)C
LIT,LIT-67,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C
LIT,LIT-68,CCC1CC(C)C2(NC1=O)OC(CC(C(CCC=CC=C(C1CC=CC=CC(O)C(C)C(O)C(CCC(=O)C)C(=O)NC(C(=O)NC(C(=O)N3NC(C(=O)O1)CCC3)Cc1cccc(c1)O)C(C)C)C)C)O)C(C(C2C)O)C
LIT,LIT-69,Nc1oc2c(n1)cc(cc2)c1nn(c2c1c(N)ncn2)C(C)C
LIT,LIT-70,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(CC2OC)C)C(=O)C(=O)N2C(C(=O)OC(C(C(CC1=O)O)C)C(=CC1CCC(C(C1)OC)O)C)CCCC2
LIT,LIT-71,C=C[C@@H](C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H]2N(C(=O)[C@@H](N(C1=O)C)C)CCCC2)[C@@H](C(C)C)O)[C@H](CC)C)C
LIT,LIT-72,O=C(Nc1cc(N(C)C)c2c(c1O)C(=C1C(C2)CC2C(C1=O)(O)C(=C(C(=O)C2N(C)C)C(=O)N)O)O)CNC(C)(C)C
LIT,LIT-73,Nc1ncnc(c1)Nc1cc(C)c2n(c1=O)C1(CCCCC1)NC2=O
LIT,LIT-74,O=C(C=Cn1cnc(n1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)NNc1ccccn1
LIT,LIT-75,CC[C@@H]([C@@H]1/C=C/C/C=C/C[C@@H](C)[C@H](O)[C@H]([C@H]2O[C@](C(=O)C(=O)N3[C@H](C(=O)O1)CCCC3)(O)[C@H](C)CC2)C)Cc1ccccc1
LIT,LIT-76,COc1nc(OC)cc2c1[C@]1(O)[C@H](O)[C@@H]([C@H]([C@@]1(O2)c1ccc(cc1)C#N)c1ccccc1)CN(C)C
LIT,LIT-77,CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C
LIT,LIT-78,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC
LIT,LIT-79,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C
LIT,LIT-80,OCC12C(O)CC(CC2(O)CCC2C1C(O)CC1(C2(O)CCC1C1=CC(=O)OC1)C)OC1OC(C)C(C(C1O)O)O
LIT,LIT-81,OC1CCC2(C(C1)CCC1C2CCC2(C1(O)CCC2c1ccc(=O)oc1)C)C
LIT,LIT-82,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1cccc2C
LIT,LIT-83,CCN(C(=S)SSC(=S)N(CC)CC)CC
LIT,LIT-84,Nc1nc(=S)c2c([nH]1)nc[nH]2
LIT,LIT-85,COc1c(CC=C(CCC(=O)O)C)c(O)c2c(c1C)COC2=O
LIT,LIT-86,CN(C(CN1c2ccccc2Sc2c1cccc2)C)C
LIT,LIT-87,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F
LIT,LIT-88,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N
LIT,LIT-89,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
LIT,LIT-90,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1
LIT,LIT-91,OCC(CCn1cnc2c1nc(N)[nH]c2=O)CO
LIT,LIT-92,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-]
LIT,LIT-93,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC
LIT,LIT-94,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC
LIT,LIT-95,Fc1c[nH]c(=O)c(n1)C(=O)N
LIT,LIT-96,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N
LIT,LIT-97,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC
LIT,LIT-98,OC(=O)P(=O)(O)O
LIT,LIT-99,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O
LIT,LIT-100,OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C
LIT,LIT-101,OCC(C(C1OC(=CC(C1NC(=O)C)N=C(N)N)C(=O)O)O)O
LIT,LIT-102,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC
LIT,LIT-103,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C
LIT,LIT-104,Nc1ccn(c(=O)n1)C1CSC(O1)CO
LIT,LIT-105,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
LIT,LIT-106,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1
LIT,LIT-107,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C
LIT,LIT-108,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC
LIT,LIT-109,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC
LIT,LIT-110,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC
LIT,LIT-111,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C
LIT,LIT-112,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
